1	w-1
2	70.0
3	30
22	w-2
23	21.5
24	12
43	w-2
44	79
45	49
64	w-2
65	64
66	34
85	w-7
86	63
87	47.4
106	w-7
107	70
108	58.6
127	w-7
128	69
129	59
148	w-2
149	50.2
150	24.3
169	w-2
170	54
171	36
190	w-2
191	54
192	41
211	w-2
212	70
213	46
232	w-7
233	81.5
234	67.2
253	w-2
254	72
255	61.1
274	w-2
275	64
276	39
295	w-7
296	86.0
297	70
316	w-9
317	52
318	31
337	w-2
338	59
339	30
358	w-2
359	61
360	27.7
379	w-2
380	64
381	30
400	w-2
401	59
402	27
4	w-2
5	70.5
6	32
25	w-2
26	22.0
27	7
46	w-2
47	79
48	52
67	w-2
68	64.2
69	43
88	w-2
89	68.4
109	w-7
110	70
111	52
130	w-2
131	70
132	52
151	w-2
152	48
153	27.5
172	w-2
173	50.5
174	39
193	w-2
194	55.4
195	46
214	w-2
215	73
216	51.6
235	w-2
236	79.7
237	63
256	w-2
257	63
258	55
277	w-2
278	61
279	37
298	w-7
299	87.8
300	64
319	w-9
320	54
321	23
340	w-2
341	59
342	30
361	w-7
362	56.5
363	37.8
382	w-2
383	62
384	33.4
403	w-2
404	55
405	39
7	w-2
8	70.9
9	39
28	w-2
29	17.8
30	1
49	w-2
50	82
51	48
70	w-2
71	73
72	46
91	w-2
92	68.9
93	53.5
112	w-7
113	72
114	51.3
133	w-7
134	72
135	51
154	w-2
155	48.2
156	24.1
175	w-2
176	52.1
177	41
196	w-2
197	57
198	45
217	w-2
218	72
219	46
238	w-2
239	70
240	61
259	w-2
260	72
261	55
280	w-2
281	68
282	47
301	w-7
302	82.2
303	69.4
322	w-7
323	52
324	20
343	w-7
344	57
345	48
364	w-2
365	71.4
366	46
385	w-7
386	59
387	42
406	w-2
407	61
408	37
10	w-2
11	73.4
12	39
31	w-2
32	14
33	0
52	w-2
53	83.4
54	49
73	w-2
74	70
75	45
94	w-7
95	66
96	55
115	w-7
116	68
117	50.8
136	w-2
137	69
138	52
157	w-1
158	52
159	31.2
178	w-2
179	55.0
180	34
199	w-2
200	57
201	39
220	w-2
221	75
222	46
241	w-2
242	78.7
243	61
262	w-2
263	73
264	55
283	w-2
284	70
285	39
304	w-2
305	84.4
306	64
325	w-2
326	57
327	26
346	w-2
347	59
348	37
367	w-2
368	59
369	41.7
388	w-2
389	63
390	37
409	w-2
410	63
411	36
13	w-2
14	75.7
15	34
34	w-2
35	16.3
36	1
55	w-2
56	81
57	48
76	w-2
77	70
78	43
97	w-2
98	64.3
99	46
118	w-2
119	72
120	53
139	w-2
140	73
141	52
160	w-2
161	54
162	26.7
181	w-1
182	56.5
183	30
202	w-1
203	59
204	36
223	w-1
224	75
225	52
244	w-2
245	77.9
246	57
265	w-1
266	70
267	53
286	w-2
287	70
288	37
307	w-2
308	83.8
309	68
328	w-7
329	50
330	18
349	w-7
350	64
351	43
370	w-2
371	66
372	46.4
391	w-2
392	63
393	34
412	w-7
413	63
414	48
16	w-2
17	59.7
18	37
37	w-2
38	22.8
39	3
58	w-2
59	85.5
60	44
79	w-7
80	64
81	49.6
100	w-2
101	65.4
102	39
121	w-7
122	75
123	48
142	w-2
143	80
144	48
163	w-2
164	57.2
165	28.0
184	w-2
185	60.2
186	33.5
205	w-2
206	61
207	37
226	w-2
227	76.8
228	54
247	w-2
248	81.3
249	56.9
268	w-1
269	72
270	46
289	w-2
290	72
291	37
310	w-7
311	86.5
312	66
331	w-1
332	46
333	12
352	w-7
353	59
354	27.0
373	w-2
374	63
375	32.2
394	w-7
395	59
396	33
415	w-2
416	59
417	28
19	w-1
20	52.2
21	28
40	w-2
41	22.2
42	3
61	w-1
62	84
63	55
82	w-2
83	57
84	30
103	w-2
104	66.4
105	39
124	w-7
125	84
126	49.3
145	w-7
146	85
147	50
166	w-7
167	53.8
168	35.8
